이름,고유번호,관심사,나이,성별,혜택,교통비,교통횟수,교통총비용,편의점비,편의점횟수,편의점총비용,배달비,배달횟수,배달총비용,카페비,카페횟수,카페총비용,ott비,ott횟수,ott총비용,영화비,영화횟수,영화총비용,쇼핑비,쇼핑횟수,쇼핑총비용,도서비,도서횟수,도서총비용,뷰티비,뷰티횟수,뷰티총비용,야구비,야구횟수,야구총비용,놀이공원/공연비,놀이공원/공연횟수,놀이공원/공연총비용,통신비,통신횟수,통신총비용,card
임정웅,a04489,도서,17,남,뷰티,300,47,14100,26000,27,702000,19000,6,114000,6700,5,33500,4800,3,14400,23500,2,47000,40100,1,40100,18800,5,94000,44000,2,88000,8000,0,0,48400,1,48400,69000,1,69000,6
최하윤,a04490,뷰티,12,여,통신비,600,68,40800,44700,30,1341000,16300,9,146700,19700,11,216700,4600,6,27600,24100,0,0,17200,4,68800,22400,2,44800,22800,5,114000,23600,1,23600,29600,2,59200,52500,1,52500,4
최영환,a04491,패션,8,남,편의점,400,19,7600,30900,22,679800,25300,2,50600,17100,7,119700,2500,5,12500,14900,2,29800,18900,0,0,26700,0,0,25400,5,127000,14100,2,28200,34500,1,34500,61400,1,61400,2
김지후,a04492,카페,16,여,쇼핑,300,15,4500,45700,27,1233900,14000,4,56000,12000,8,96000,4800,5,24000,15300,0,0,23400,2,46800,27700,1,27700,16800,1,16800,19100,1,19100,20200,1,20200,58400,1,58400,2
권병철,a04493,뷰티,12,남,쇼핑,400,18,7200,30300,25,757500,26300,5,131500,16800,9,151200,2600,4,10400,15600,2,31200,33000,0,0,24200,5,121000,23200,3,69600,14500,2,29000,49000,2,98000,17100,1,17100,4
김재현,a04494,여행,14,남,야구,700,34,23800,35800,14,501200,12200,8,97600,12200,5,61000,2800,2,5600,17000,1,17000,32800,0,0,24600,3,73800,34100,2,68200,24300,2,48600,37100,2,74200,44200,1,44200,3
황영희,a04495,게임,8,여,놀이동산,400,16,6400,43600,26,1133600,20600,5,103000,13800,2,27600,3500,0,0,18900,3,56700,28700,2,57400,23400,4,93600,18500,3,55500,23100,2,46200,33500,2,67000,26900,1,26900,4
홍지원,a04496,쇼핑,11,여,영화관람,400,33,13200,42500,18,765000,21800,3,65400,15700,18,282600,2800,1,2800,20200,1,20200,30400,4,121600,21400,1,21400,19900,2,39800,19500,0,0,25700,2,51400,26100,1,26100,7
김성진,a04497,여행,13,여,통신비,600,34,20400,13800,11,151800,20400,6,122400,9800,12,117600,2800,4,11200,19900,1,19900,12500,4,50000,29000,3,87000,38200,5,191000,10400,2,20800,45100,2,90200,30800,1,30800,1
배상현,a04498,쇼핑,9,여,배달,500,39,19500,30800,14,431200,27100,4,108400,8700,7,60900,4900,4,19600,20100,0,0,23000,3,69000,21900,0,0,38900,4,155600,15400,0,0,26000,2,52000,61400,1,61400,3
이영미,a04499,뷰티,8,여,배달,600,18,10800,48700,21,1022700,16200,2,32400,17300,5,86500,3300,3,9900,13900,3,41700,45200,0,0,21200,2,42400,43100,4,172400,21500,2,43000,46000,1,46000,28800,1,28800,4
오명숙,a04500,여행,11,남,영화관람,600,58,34800,42400,29,1229600,22900,5,114500,13800,16,220800,4200,0,0,24500,2,49000,48000,5,240000,29500,1,29500,18300,5,91500,17100,2,34200,30000,1,30000,70300,1,70300,5
이지연,a04501,여행,14,남,놀이동산,400,11,4400,16500,2,33000,12000,2,24000,8900,7,62300,4600,5,23000,13500,3,40500,30300,0,0,21100,4,84400,23100,4,92400,13500,2,27000,37300,2,74600,41600,1,41600,5
김상훈,a04502,패션,18,남,도서,300,29,8700,47700,22,1049400,24300,9,218700,11600,18,208800,3400,4,13600,21100,2,42200,38800,2,77600,27900,3,83700,40200,0,0,16600,0,0,29300,0,0,35500,1,35500,6
김미정,a04503,스포츠,11,여,놀이동산,600,34,20400,46400,26,1206400,22700,9,204300,5900,20,118000,3200,4,12800,21700,0,0,22400,4,89600,19800,2,39600,48100,2,96200,14200,0,0,41000,1,41000,39000,1,39000,1
강현준,a04504,도서,18,여,넷플릭스,500,31,15500,12100,29,350900,29700,8,237600,10200,12,122400,4300,6,25800,22500,3,67500,33000,5,165000,21600,2,43200,37000,4,148000,8700,1,8700,21900,0,0,72500,1,72500,2
최시우,a04505,스포츠,18,남,카페,400,5,2000,30400,16,486400,11000,7,77000,4800,16,76800,2900,4,11600,15100,3,45300,37500,5,187500,29500,1,29500,15200,2,30400,18700,0,0,35800,2,71600,60100,1,60100,2
박경자,a04506,카페,18,여,야구,400,64,25600,24600,20,492000,21800,2,43600,8300,13,107900,2800,3,8400,18500,1,18500,31800,2,63600,23900,5,119500,35100,3,105300,8600,2,17200,47000,0,0,11300,1,11300,6
김준영,a04507,패션,19,여,야구,500,30,15000,41600,8,332800,13000,5,65000,9000,10,90000,3300,4,13200,14500,2,29000,40000,1,40000,18900,0,0,21800,4,87200,23300,2,46600,26100,1,26100,21900,1,21900,6
서성훈,a04508,쇼핑,10,남,카페,500,70,35000,9400,16,150400,22500,4,90000,6300,20,126000,2900,4,11600,24900,1,24900,22000,1,22000,26900,1,26900,26600,5,133000,8900,1,8900,47400,1,47400,35500,1,35500,5
최수민,a04509,뷰티,10,남,도서,600,67,40200,16400,29,475600,21600,7,151200,13200,11,145200,3800,1,3800,24200,3,72600,23700,3,71100,18700,5,93500,42000,3,126000,9700,1,9700,39000,0,0,55400,1,55400,1
최수민,a04510,영화관람,8,여,놀이동산,700,18,12600,15900,8,127200,26000,6,156000,19400,4,77600,3600,3,10800,21600,2,43200,31100,1,31100,20000,4,80000,20600,4,82400,21200,1,21200,30300,1,30300,59000,1,59000,5
박민준,a04511,스포츠,8,남,배달,500,7,3500,26400,10,264000,15700,10,157000,12900,17,219300,3600,3,10800,24600,3,73800,15700,2,31400,29600,2,59200,36800,0,0,12300,2,24600,33800,2,67600,56300,1,56300,0
손민재,a04512,도서,17,여,놀이동산,600,36,21600,43500,6,261000,29000,4,116000,9500,20,190000,2700,6,16200,22300,1,22300,24800,2,49600,22000,4,88000,38800,3,116400,12600,1,12600,26700,1,26700,68000,1,68000,6
유옥자,a04513,쇼핑,12,여,놀이동산,300,5,1500,35600,30,1068000,25700,9,231300,12500,3,37500,3500,4,14000,14600,3,43800,15400,1,15400,22400,5,112000,15900,5,79500,10300,2,20600,49900,0,0,65200,1,65200,1
류지영,a04514,여행,18,여,놀이동산,500,45,22500,11100,14,155400,11700,8,93600,5800,16,92800,4700,0,0,21100,1,21100,31900,4,127600,24000,4,96000,33500,5,167500,15500,0,0,33900,1,33900,61800,1,61800,0
김순옥,a04515,카페,13,여,도서,500,58,29000,15800,19,300200,23600,7,165200,19700,11,216700,2700,2,5400,24900,1,24900,22000,2,44000,19200,2,38400,17800,4,71200,15000,0,0,40700,2,81400,56700,1,56700,5
김민재,a04516,영화관람,19,남,영화관람,600,31,18600,41700,7,291900,25400,5,127000,18000,2,36000,4500,1,4500,23700,0,0,11700,5,58500,22300,3,66900,45000,2,90000,13300,2,26600,40600,2,81200,18400,1,18400,2
이영호,a04517,도서,15,여,뷰티,600,17,10200,44200,17,751400,12400,2,24800,6700,14,93800,4200,0,0,17100,1,17100,37700,2,75400,29700,2,59400,16400,0,0,19500,1,19500,49300,1,49300,11900,1,11900,4
류영희,a04518,도서,11,남,통신비,400,6,2400,43700,13,568100,13900,9,125100,5000,20,100000,4900,3,14700,14000,3,42000,42100,2,84200,29200,4,116800,15700,0,0,8800,2,17600,34100,0,0,43800,1,43800,5
배성민,a04519,도서,14,남,영화관람,600,11,6600,4500,11,49500,11100,10,111000,8300,7,58100,4800,5,24000,20100,3,60300,31100,0,0,24300,0,0,16000,3,48000,18700,0,0,43900,1,43900,68000,1,68000,1
강정순,a04520,여행,10,여,야구,300,42,12600,3300,25,82500,16400,9,147600,10300,6,61800,4100,3,12300,18400,0,0,48100,3,144300,25800,4,103200,32600,3,97800,10000,2,20000,48400,0,0,72000,1,72000,0
허진우,a04521,카페,14,여,도서,400,62,24800,29200,9,262800,10800,6,64800,10500,10,105000,4900,1,4900,18100,0,0,48800,5,244000,18600,0,0,15300,2,30600,13200,2,26400,38200,2,76400,63500,1,63500,5
조서연,a04522,게임,19,남,도서,600,32,19200,17500,17,297500,23200,9,208800,17900,13,232700,4800,4,19200,21600,2,43200,46000,2,92000,23100,2,46200,16600,5,83000,21300,0,0,35300,2,70600,65700,1,65700,5
권아름,a04523,스포츠,12,여,배달,600,70,42000,29000,18,522000,13900,4,55600,17500,11,192500,4900,6,29400,19300,0,0,32000,0,0,28600,2,57200,40200,2,80400,15000,2,30000,48700,0,0,64400,1,64400,2
배주원,a04524,뷰티,16,남,야구,600,50,30000,29100,19,552900,18600,2,37200,12400,6,74400,4500,0,0,18700,1,18700,28300,5,141500,20900,3,62700,22600,2,45200,9100,0,0,40900,1,40900,27300,1,27300,5
김은영,a04525,쇼핑,15,남,통신비,500,56,28000,40500,16,648000,24900,5,124500,5500,16,88000,3400,2,6800,20200,2,40400,14300,2,28600,24500,2,49000,27800,4,111200,8500,0,0,45400,0,0,28000,1,28000,7
오영호,a04526,여행,18,남,뷰티,300,26,7800,44000,5,220000,20900,10,209000,9500,17,161500,2700,1,2700,24000,2,48000,30800,4,123200,26000,2,52000,42500,3,127500,10100,2,20200,39900,0,0,26700,1,26700,6
박재현,a04527,도서,9,남,통신비,600,38,22800,46300,26,1203800,27500,8,220000,8400,17,142800,3300,3,9900,13300,3,39900,22200,2,44400,22100,3,66300,44900,1,44900,11400,0,0,39600,2,79200,73800,1,73800,2
송현우,a04528,스포츠,12,여,쇼핑,300,27,8100,27400,21,575400,17600,10,176000,5400,18,97200,2700,0,0,23600,0,0,14300,2,28600,29000,5,145000,46200,2,92400,18800,2,37600,26600,1,26600,47200,1,47200,7
이병철,a04529,스포츠,10,여,카페,300,46,13800,7700,23,177100,21600,2,43200,17200,17,292400,3400,2,6800,23000,2,46000,44300,4,177200,29400,5,147000,19900,0,0,22100,1,22100,34500,0,0,33400,1,33400,3
박영환,a04530,여행,9,여,편의점,300,30,9000,48300,23,1110900,15700,9,141300,13900,7,97300,4700,0,0,17600,2,35200,20700,1,20700,25700,1,25700,36400,3,109200,24000,1,24000,38600,1,38600,36900,1,36900,3
김은경,a04531,영화관람,9,여,편의점,300,60,18000,4800,15,72000,23400,2,46800,7100,12,85200,3000,5,15000,15600,3,46800,37500,2,75000,26500,0,0,33600,5,168000,11600,1,11600,42600,0,0,65900,1,65900,1
김재현,a04532,영화관람,19,여,야구,700,16,11200,18100,26,470600,23400,6,140400,17000,3,51000,3000,6,18000,22400,2,44800,40400,1,40400,26900,3,80700,17600,2,35200,14400,0,0,28000,1,28000,31600,1,31600,2
이서영,a04533,패션,18,여,쇼핑,400,61,24400,7000,27,189000,19000,8,152000,19900,14,278600,4100,6,24600,21500,0,0,35800,1,35800,21700,2,43400,22600,4,90400,24900,2,49800,24300,2,48600,35300,1,35300,3
김주원,a04534,패션,8,여,넷플릭스,700,56,39200,26500,17,450500,19700,7,137900,19400,9,174600,3500,1,3500,23600,0,0,48300,1,48300,21300,1,21300,46000,0,0,11900,2,23800,24200,1,24200,58700,1,58700,3
허지원,a04535,쇼핑,18,남,편의점,600,49,29400,11400,13,148200,11700,2,23400,11100,20,222000,4900,0,0,15400,2,30800,13300,5,66500,23100,1,23100,18800,5,94000,24900,2,49800,38500,1,38500,71400,1,71400,4
서광수,a04536,게임,12,남,영화관람,400,42,16800,8200,20,164000,14000,3,42000,11400,16,182400,3300,2,6600,17400,3,52200,27100,3,81300,23200,5,116000,32900,5,164500,13100,1,13100,30400,2,60800,43500,1,43500,0
이지원,a04537,영화관람,15,남,대중교통,300,16,4800,8500,13,110500,14800,10,148000,19200,18,345600,2800,2,5600,17000,0,0,27800,4,111200,18500,4,74000,25600,4,102400,16200,2,32400,24500,0,0,25400,1,25400,6
장상훈,a04538,스포츠,15,여,놀이동산,300,50,15000,8300,30,249000,25500,7,178500,12800,3,38400,4500,5,22500,22800,0,0,11500,2,23000,20100,2,40200,30900,2,61800,8100,2,16200,22200,0,0,44600,1,44600,3
전서윤,a04539,게임,18,남,통신비,500,64,32000,34800,9,313200,25500,4,102000,9100,4,36400,4600,1,4600,16200,2,32400,27400,2,54800,18700,2,37400,31400,1,31400,10400,1,10400,37200,1,37200,22700,1,22700,4
박성수,a04540,쇼핑,11,여,뷰티,400,20,8000,19500,15,292500,18300,4,73200,9700,15,145500,3300,2,6600,24200,0,0,11300,1,11300,27200,2,54400,49600,3,148800,16800,1,16800,30200,1,30200,57300,1,57300,4
허보람,a04541,쇼핑,10,여,카페,500,38,19000,32400,12,388800,27700,4,110800,8400,13,109200,3900,1,3900,19300,2,38600,19700,1,19700,18900,0,0,44700,4,178800,15600,2,31200,32300,0,0,48900,1,48900,1
이서연,a04542,도서,9,남,넷플릭스,500,17,8500,34600,3,103800,12500,10,125000,4800,15,72000,4500,2,9000,19500,2,39000,10600,0,0,26900,1,26900,15400,0,0,13600,2,27200,21800,2,43600,44500,1,44500,1
박정훈,a04543,쇼핑,8,여,통신비,300,41,12300,34200,10,342000,20700,3,62100,12700,3,38100,3800,1,3800,13300,0,0,34700,0,0,24500,1,24500,47000,1,47000,20400,0,0,41500,1,41500,30100,1,30100,1
이예원,a04544,패션,14,여,도서,600,43,25800,15100,21,317100,28300,8,226400,16500,12,198000,4000,1,4000,19100,1,19100,19900,1,19900,27000,3,81000,27700,1,27700,18600,0,0,34500,1,34500,37500,1,37500,6
김민수,a04545,스포츠,9,여,넷플릭스,500,12,6000,24900,25,622500,15400,6,92400,7700,10,77000,4100,5,20500,23800,3,71400,25100,0,0,27300,2,54600,27100,0,0,9700,0,0,31100,1,31100,32800,1,32800,5
정성민,a04546,뷰티,10,여,배달,600,33,19800,10100,12,121200,11600,10,116000,12000,4,48000,4700,4,18800,13200,3,39600,28900,3,86700,29000,2,58000,20500,0,0,18900,0,0,29900,2,59800,38100,1,38100,0
곽영순,a04547,카페,18,여,쇼핑,300,36,10800,4700,28,131600,29700,4,118800,9100,7,63700,3900,1,3900,20500,3,61500,49600,1,49600,28300,3,84900,31500,2,63000,22600,0,0,24400,1,24400,70800,1,70800,3
김영수,a04548,도서,8,남,도서,300,47,14100,17100,16,273600,26600,7,186200,11400,4,45600,2700,1,2700,19800,1,19800,10700,1,10700,18900,2,37800,46600,4,186400,15500,0,0,31900,2,63800,52300,1,52300,2
강승현,a04549,여행,13,남,카페,300,43,12900,28700,6,172200,26300,3,78900,8900,14,124600,3300,0,0,13500,2,27000,38700,1,38700,21900,5,109500,25000,2,50000,16300,1,16300,41600,2,83200,18500,1,18500,7
김성현,a04550,여행,8,남,배달,400,38,15200,23600,16,377600,11200,2,22400,10600,13,137800,3800,0,0,14400,0,0,40900,2,81800,27900,3,83700,46200,4,184800,19000,0,0,32000,0,0,11300,1,11300,6
장민준,a04551,게임,9,여,영화관람,600,55,33000,34500,12,414000,24600,3,73800,18400,16,294400,3600,4,14400,13700,1,13700,49800,2,99600,18000,4,72000,16100,1,16100,12200,0,0,32300,2,64600,26900,1,26900,0
강시우,a04552,카페,10,여,배달,300,70,21000,24200,17,411400,27700,4,110800,10500,10,105000,3200,4,12800,22400,0,0,32300,1,32300,20400,0,0,14200,1,14200,14000,0,0,32600,2,65200,43700,1,43700,6
한성수,a04553,여행,18,여,도서,300,34,10200,8400,13,109200,12300,9,110700,15800,9,142200,3400,0,0,23700,2,47400,30000,3,90000,23400,3,70200,48900,0,0,14700,1,14700,32700,0,0,49600,1,49600,0
박순자,a04554,쇼핑,18,남,영화관람,600,39,23400,17900,26,465400,16600,5,83000,5900,13,76700,2800,3,8400,20700,1,20700,46600,4,186400,22100,5,110500,31100,5,155500,19600,1,19600,43400,1,43400,13800,1,13800,2
이지영,a04555,스포츠,13,여,대중교통,400,31,12400,36100,20,722000,25300,8,202400,13200,11,145200,3500,4,14000,23300,1,23300,11400,2,22800,27200,0,0,38200,3,114600,23300,1,23300,29700,0,0,68700,1,68700,7
김현정,a04556,카페,9,여,카페,400,7,2800,39700,12,476400,13900,10,139000,14000,19,266000,3200,6,19200,22000,3,66000,14200,3,42600,24900,5,124500,28500,3,85500,24500,0,0,22400,0,0,18200,1,18200,5
이은주,a04557,영화관람,13,여,대중교통,400,58,23200,33600,11,369600,26000,7,182000,15800,10,158000,3600,5,18000,13100,2,26200,42100,0,0,25500,1,25500,13000,4,52000,8700,0,0,36100,1,36100,27000,1,27000,0
이민준,a04558,뷰티,15,남,쇼핑,400,34,13600,25100,19,476900,28500,2,57000,10100,14,141400,3900,1,3900,13400,1,13400,32000,4,128000,28300,1,28300,33100,4,132400,22200,1,22200,31300,2,62600,64400,1,64400,0
이현준,a04559,도서,19,여,대중교통,600,54,32400,33900,24,813600,20500,6,123000,11300,7,79100,3700,4,14800,17700,1,17700,45200,5,226000,18700,4,74800,18900,3,56700,18100,1,18100,44800,2,89600,24800,1,24800,1
이도윤,a04560,스포츠,14,남,배달,300,54,16200,8400,10,84000,26800,7,187600,11000,16,176000,4800,6,28800,22400,3,67200,35500,5,177500,23200,5,116000,32300,0,0,12600,2,25200,44200,2,88400,13900,1,13900,4
윤승현,a04561,도서,11,남,도서,400,61,24400,21100,30,633000,24000,2,48000,13500,7,94500,2800,0,0,18400,2,36800,45900,1,45900,28300,3,84900,26900,5,134500,9500,2,19000,48700,0,0,71100,1,71100,4
이종수,a04562,여행,13,여,카페,500,48,24000,9900,5,49500,16800,2,33600,16400,12,196800,4200,1,4200,21700,1,21700,29100,1,29100,20500,3,61500,42700,5,213500,12700,1,12700,47100,2,94200,71600,1,71600,4
배지후,a04563,스포츠,11,남,편의점,300,61,18300,39400,11,433400,13300,3,39900,17900,11,196900,4600,1,4600,22800,2,45600,13900,1,13900,23300,1,23300,43400,4,173600,18600,1,18600,39200,0,0,50800,1,50800,4
강상철,a04564,카페,12,여,놀이동산,500,45,22500,8300,29,240700,23200,10,232000,14700,2,29400,4600,6,27600,13200,0,0,12400,2,24800,21600,4,86400,36400,4,145600,19600,2,39200,30700,1,30700,10600,1,10600,0
김병철,a04565,여행,15,여,영화관람,400,7,2800,31800,13,413400,13200,10,132000,8400,9,75600,2500,1,2500,15000,0,0,34600,0,0,22700,1,22700,40800,3,122400,22400,2,44800,48200,0,0,30600,1,30600,3
이상현,a04566,여행,8,남,쇼핑,500,45,22500,48400,12,580800,28000,7,196000,6200,18,111600,3100,1,3100,18300,2,36600,46000,2,92000,18000,2,36000,24200,1,24200,9300,2,18600,49900,1,49900,24500,1,24500,2
최민지,a04567,영화관람,8,남,놀이동산,700,19,13300,4500,5,22500,28600,7,200200,17400,11,191400,2900,0,0,20900,1,20900,17000,5,85000,20900,1,20900,43100,1,43100,20600,0,0,41800,2,83600,72500,1,72500,0
남보람,a04568,쇼핑,12,남,배달,600,24,14400,32300,14,452200,13700,9,123300,16600,7,116200,3500,1,3500,13600,2,27200,38500,0,0,20600,2,41200,14200,3,42600,15700,2,31400,39100,2,78200,44800,1,44800,0
엄순자,a04569,쇼핑,18,남,대중교통,600,44,26400,11300,20,226000,14800,2,29600,18400,16,294400,4700,4,18800,22600,1,22600,19200,5,96000,29000,4,116000,33700,4,134800,18600,1,18600,34100,2,68200,56300,1,56300,4
문수민,a04570,도서,15,남,배달,500,26,13000,24800,21,520800,20200,10,202000,13600,16,217600,3700,1,3700,19900,2,39800,24000,3,72000,23600,5,118000,38900,5,194500,21000,2,42000,26500,0,0,63000,1,63000,1
이정웅,a04571,여행,18,남,쇼핑,500,48,24000,10000,14,140000,15700,3,47100,10200,9,91800,4800,6,28800,18300,2,36600,36900,0,0,23700,1,23700,23700,5,118500,24200,1,24200,31000,0,0,18400,1,18400,4
이준서,a04572,스포츠,18,여,통신비,300,36,10800,38900,18,700200,21400,10,214000,10700,17,181900,2800,6,16800,15700,0,0,29400,0,0,28200,5,141000,18300,3,54900,22900,2,45800,43200,1,43200,50200,1,50200,2
이지연,a04573,영화관람,17,여,놀이동산,700,20,14000,6600,21,138600,18700,6,112200,5600,9,50400,4900,4,19600,17100,1,17100,37200,1,37200,22700,2,45400,39000,0,0,11300,0,0,45900,2,91800,50400,1,50400,2
이주원,a04574,패션,18,여,도서,500,20,10000,40200,14,562800,24300,3,72900,4600,5,23000,2600,2,5200,15000,2,30000,22700,0,0,27200,5,136000,16600,1,16600,17400,1,17400,28100,2,56200,68300,1,68300,7
이경수,a04575,뷰티,18,남,넷플릭스,600,64,38400,47900,9,431100,27300,6,163800,12700,14,177800,2600,5,13000,20800,1,20800,49200,5,246000,20400,1,20400,24000,4,96000,22300,2,44600,29900,2,59800,15100,1,15100,5
김숙자,a04576,뷰티,16,남,배달,700,41,28700,28300,25,707500,13300,9,119700,17800,16,284800,4500,3,13500,16800,2,33600,22300,5,111500,27600,3,82800,39600,0,0,8400,2,16800,47800,2,95600,29300,1,29300,6
이영일,a04577,영화관람,17,여,놀이동산,600,65,39000,5000,26,130000,28400,9,255600,17100,20,342000,3200,0,0,14200,2,28400,38900,4,155600,24900,3,74700,22700,3,68100,10100,2,20200,40300,2,80600,18900,1,18900,3
권영자,a04578,패션,18,여,쇼핑,600,47,28200,20900,4,83600,13900,3,41700,8600,14,120400,4300,0,0,21000,3,63000,16500,3,49500,25100,5,125500,24000,5,120000,16200,0,0,40200,2,80400,38200,1,38200,1
김예지,a04579,영화관람,17,남,도서,400,46,18400,13500,29,391500,29900,6,179400,19700,13,256100,2800,5,14000,24300,2,48600,22200,4,88800,18500,5,92500,33400,1,33400,15900,2,31800,21300,2,42600,22300,1,22300,1
박미정,a04580,쇼핑,14,여,통신비,400,40,16000,29100,17,494700,12000,10,120000,11800,20,236000,2800,6,16800,18400,2,36800,32900,3,98700,28800,1,28800,19300,5,96500,22700,1,22700,39800,1,39800,51500,1,51500,0
박순옥,a04581,뷰티,19,남,편의점,500,51,25500,44200,23,1016600,18500,10,185000,8000,12,96000,2700,6,16200,13900,2,27800,49500,3,148500,18700,5,93500,49400,2,98800,23700,1,23700,47600,0,0,18100,1,18100,7
하수빈,a04582,스포츠,12,여,대중교통,300,23,6900,33300,4,133200,20000,4,80000,4900,5,24500,2600,4,10400,16100,3,48300,48200,3,144600,29900,2,59800,13500,0,0,14100,2,28200,48300,0,0,73900,1,73900,3
최순옥,a04583,여행,12,여,야구,400,26,10400,22000,4,88000,27000,7,189000,16300,3,48900,4700,2,9400,20900,0,0,10600,2,21200,26200,0,0,43300,4,173200,20700,1,20700,46900,1,46900,68000,1,68000,5
황영자,a04584,도서,18,여,뷰티,500,15,7500,14700,7,102900,29700,3,89100,14300,15,214500,3900,5,19500,19300,1,19300,22200,4,88800,18800,0,0,17500,5,87500,21800,0,0,27600,2,55200,44300,1,44300,0
문순자,a04585,쇼핑,16,남,야구,400,19,7600,19200,18,345600,29900,7,209300,15900,19,302100,3100,0,0,20500,1,20500,33700,3,101100,20800,2,41600,49600,3,148800,24100,1,24100,22300,1,22300,34600,1,34600,6
이예원,a04586,여행,17,여,대중교통,300,16,4800,9400,27,253800,12800,2,25600,9900,7,69300,4300,0,0,24900,1,24900,26000,2,52000,25300,3,75900,49600,1,49600,8700,0,0,43000,0,0,52500,1,52500,6
김은주,a04587,여행,16,여,뷰티,600,32,19200,20300,14,284200,11500,3,34500,19100,20,382000,4100,2,8200,14000,1,14000,21300,4,85200,20000,0,0,38700,3,116100,21900,0,0,30300,1,30300,50500,1,50500,3
이병철,a04588,게임,19,남,편의점,600,36,21600,29200,5,146000,16800,6,100800,5300,12,63600,3200,1,3200,24500,0,0,42700,4,170800,18100,5,90500,22000,3,66000,15800,2,31600,41900,0,0,37700,1,37700,5
황민석,a04589,스포츠,17,남,쇼핑,700,49,34300,2500,18,45000,25200,9,226800,11200,8,89600,3400,3,10200,17100,1,17100,31500,2,63000,24500,5,122500,11200,0,0,15600,0,0,28300,0,0,45300,1,45300,4
성미숙,a04590,영화관람,19,남,배달,600,29,17400,19500,24,468000,17300,10,173000,14200,10,142000,4000,0,0,15700,2,31400,35000,0,0,25200,0,0,30200,0,0,24200,2,48400,42400,2,84800,47500,1,47500,3
김지혜,a04591,패션,16,남,도서,400,43,17200,14200,16,227200,23400,3,70200,7900,12,94800,2500,4,10000,24600,1,24600,30200,3,90600,18600,1,18600,23900,4,95600,19200,2,38400,27200,1,27200,55400,1,55400,0
김성진,a04592,쇼핑,16,여,쇼핑,500,13,6500,27700,12,332400,14800,9,133200,5600,9,50400,4000,3,12000,17900,3,53700,24500,1,24500,23800,4,95200,29800,5,149000,9500,0,0,31500,2,63000,32600,1,32600,2
이성진,a04593,도서,16,남,대중교통,400,7,2800,46600,9,419400,14900,5,74500,7200,20,144000,3200,3,9600,20100,2,40200,24500,4,98000,27800,4,111200,10600,5,53000,9600,2,19200,36800,1,36800,19000,1,19000,6
양하은,a04594,도서,11,여,통신비,400,41,16400,24900,23,572700,19900,10,199000,8300,7,58100,2900,4,11600,19200,1,19200,41200,4,164800,18800,0,0,29900,0,0,23300,2,46600,21600,2,43200,40100,1,40100,5
최지후,a04595,뷰티,8,여,야구,300,56,16800,42900,9,386100,23500,3,70500,13100,7,91700,4900,0,0,19700,2,39400,23500,1,23500,18100,5,90500,18300,4,73200,14500,0,0,42800,1,42800,41300,1,41300,6
김지우,a04596,여행,15,여,통신비,300,46,13800,8800,19,167200,19500,9,175500,16600,12,199200,4800,0,0,13400,0,0,17800,2,35600,18500,1,18500,35800,1,35800,15500,2,31000,30900,0,0,18800,1,18800,0
강지영,a04597,도서,16,남,쇼핑,400,51,20400,8800,18,158400,23600,9,212400,15800,16,252800,4600,1,4600,13100,2,26200,11200,5,56000,18900,3,56700,36700,4,146800,9900,0,0,25900,1,25900,31400,1,31400,3
김도현,a04598,게임,9,남,놀이동산,500,10,5000,5100,26,132600,22900,10,229000,12600,14,176400,3000,0,0,18500,2,37000,35800,5,179000,21500,3,64500,47700,2,95400,8400,1,8400,20900,2,41800,11100,1,11100,1
김서현,a04599,여행,16,남,대중교통,300,49,14700,35100,19,666900,27100,3,81300,5700,11,62700,3300,3,9900,24000,2,48000,42900,2,85800,21400,4,85600,41000,0,0,9600,0,0,36800,0,0,53700,1,53700,6
우민서,a04600,뷰티,12,여,대중교통,500,60,30000,14700,30,441000,10500,3,31500,13900,8,111200,4800,4,19200,14200,3,42600,40700,0,0,28300,1,28300,27100,0,0,17600,0,0,46500,1,46500,29400,1,29400,3
박정웅,a04601,도서,18,여,넷플릭스,600,21,12600,24200,5,121000,15000,4,60000,5900,12,70800,4700,6,28200,18300,2,36600,16100,2,32200,23700,1,23700,31100,3,93300,22700,0,0,38600,0,0,55900,1,55900,0
문하윤,a04602,패션,9,남,야구,400,32,12800,41000,18,738000,16800,10,168000,11600,4,46400,4400,5,22000,20200,3,60600,44400,5,222000,29600,0,0,28900,5,144500,13600,0,0,27500,0,0,55700,1,55700,7
김경희,a04603,뷰티,12,남,배달,600,66,39600,30500,22,671000,22700,8,181600,12600,7,88200,4000,1,4000,23200,1,23200,16100,2,32200,28900,4,115600,25300,5,126500,19700,2,39400,31600,1,31600,14200,1,14200,2
홍준영,a04604,패션,14,남,통신비,400,69,27600,4700,17,79900,23100,2,46200,5300,5,26500,2600,1,2600,21700,3,65100,44600,4,178400,28900,3,86700,17000,1,17000,23000,2,46000,25100,2,50200,50500,1,50500,1
이하은,a04605,영화관람,15,여,도서,500,8,4000,4200,12,50400,18300,9,164700,15200,12,182400,3700,6,22200,24500,1,24500,32200,1,32200,20800,5,104000,13500,1,13500,21200,0,0,41500,1,41500,57800,1,57800,1
박민재,a04606,카페,18,여,쇼핑,600,35,21000,44500,20,890000,28200,6,169200,16700,15,250500,2700,4,10800,18900,1,18900,14300,4,57200,29100,4,116400,20400,0,0,17200,1,17200,35900,1,35900,70100,1,70100,1
